default,0,1.39,2.78,4.17,5.56,6.94,8.33,9.72,11.11,12.5,13.89
0,0.3,-0.05,-0.297,-0.39,-0.4,-0.531,-1.115,-1.116,-1.117,-1.118,-1.119
0.1,0.117,-0.487,-0.825,-1.004,-1.114,-1.115,-1.116,-1.117,-1.118,-1.119,-1.12
0.2,-0.821,-1.374,-1.606,-1.77,-2.225,-2.226,-2.227,-2.228,-2.231,-2.232,-2.233
0.3,-1.473,-1.963,-2.23,-2.376,-2.695,-2.696,-2.697,-2.698,-2.699,-2.7,-2.701
0.4,-1.959,-2.496,-2.665,-2.856,-3.034,-3.035,-3.036,-3.037,-3.038,-3.039,-3.04
0.5,-2.181,-2.87,-3.015,-3.139,-3.3,-3.301,-3.302,-3.303,-3.304,-3.305,-3.306
0.6,-2.182,-2.871,-3.016,-3.14,-3.301,-3.302,-3.303,-3.304,-3.305,-3.306,-3.307
0.7,-2.183,-2.872,-3.017,-3.141,-3.302,-3.303,-3.304,-3.305,-3.306,-3.307,-3.308
0.8,-2.201,-2.873,-3.018,-3.142,-3.303,-3.304,-3.305,-3.306,-3.307,-3.308,-3.309
