default,0,1.39,2.78,4.17,5.56,6.94,8.33,9.72,11.11,12.5,13.89
0,0.300,-0.050,-0.297,-0.390,-0.400,-0.410,-0.420,-0.440,-0.573,-0.574,-0.575
0.100,0.600,0.420,0.240,0.064,-0.266,-0.267,-0.268,-0.269,-0.270,-0.290,-0.291
0.200,0.642,0.421,0.241,0.065,0.052,0.051,-0.029,-0.030,-0.065,-0.066,-0.067
0.300,1.420,0.636,0.635,0.587,0.586,0.585,0.584,0.583,0.582,0.186,0.185
0.400,1.964,1.338,1.324,1.323,1.322,1.321,1.320,1.239,0.900,0.899,0.898
0.500,2.620,1.339,1.335,1.324,1.323,1.922,2.007,1.938,1.874,1.406,1.454
